epoch,accuracy,loss,val_accuracy,val_loss
0,0.36977580189704895,1.3293243646621704,0.43515849113464355,1.2800414562225342
1,0.6545806527137756,0.9856676459312439,0.6484149694442749,0.9215137362480164
2,0.7951840758323669,0.5823734402656555,0.6858789920806885,0.7818544507026672
3,0.8411292433738708,0.4175228178501129,0.6887608170509338,0.7817596793174744
4,0.8856905698776245,0.3288220465183258,0.6974063515663147,0.8024490475654602
5,0.9053418040275574,0.2717560827732086,0.6858789920806885,0.8564882278442383
6,0.924439549446106,0.22461141645908356,0.6887608170509338,0.8766794204711914
7,0.9402158856391907,0.1858203262090683,0.6916426420211792,0.9338639378547668
8,0.950733482837677,0.1594700962305069,0.6887608170509338,0.9880954027175903
9,0.9598671197891235,0.13920332491397858,0.7031700015068054,1.0409252643585205
10,0.9620813727378845,0.12973542511463165,0.6916426420211792,1.0735582113265991
11,0.9662330746650696,0.1159372627735138,0.6772334575653076,1.1149142980575562
12,0.9692776203155518,0.10426666587591171,0.6945244669914246,1.1670935153961182
13,0.973429262638092,0.09954381734132767,0.7089337110519409,1.2415903806686401
14,0.9712150692939758,0.09180830419063568,0.6974063515663147,1.2479809522628784
15,0.975643515586853,0.09031447023153305,0.7089337110519409,1.2348321676254272
16,0.9761970639228821,0.08369375765323639,0.7002881765365601,1.2825367450714111
17,0.975643515586853,0.07803810387849808,0.7060518860816956,1.275762677192688
18,0.9761970639228821,0.07412038743495941,0.7031700015068054,1.3338685035705566
19,0.9773041605949402,0.07366292923688889,0.680115282535553,1.466657280921936
20,0.973706066608429,0.07369882613420486,0.6887608170509338,1.3872302770614624
21,0.977027416229248,0.06943059712648392,0.680115282535553,1.468984842300415
22,0.9778577089309692,0.06658720225095749,0.680115282535553,1.4730082750320435
23,0.9784113168716431,0.06529363244771957,0.6887608170509338,1.4570549726486206
24,0.9789648652076721,0.05866129323840141,0.6916426420211792,1.5133144855499268
